OBJECTID_1,OBJECTID,Id,RouteNum,RouteName,Color,ServType,PageOrient,Dest_1,Dest_2,Dest_3,GlobalID,created_us,created_da,last_edite,last_edi_1,Shape_STLe,Shapelen
46,79,0,40,Telephone Heights,Blue,Local,P,N Shepherd P&R,Hobby Airport, ,{8C53824A-04A0-4089-A3DC-D42889922FAD}, ,,sn01,2016-06-14T00:00:00.000Z,159705.55977,159705.559769811
47,80,0,80,MLK Lockwood,Red,Local,P,MLK & Madden,Kashmere TC, ,{53CF6385-A911-4D2A-98C6-832DEF4C5F0E}, ,,sn01,2016-06-10T00:00:00.000Z,122598.23404,122598.23404416
48,83,0,54,Scott,Blue,Local,P,Downtown TC,Hiram Clarke TC, ,{8F5DAD73-D66D-41D7-AE44-15B1D8AF7FF6}, ,,sn01,2016-01-28T00:00:00.000Z,31383.9247921,31383.9247921521
49,85,0,54,Scott,Red,Local,P,Downtown TC,South Acres Dr, ,{F6241CEE-AE48-4054-9EDC-01EAF8B0C3B8}, ,,sn01,2016-03-29T00:00:00.000Z,67407.6774506,67407.6774505364
50,87,1,204,Spring,ParkAndRide,Park & Ride,P,Downtown,Spring PR, ,{115BD40B-15B5-4296-964F-34EBB37C3061}, ,,sn01,2016-07-07T00:00:00.000Z,327560.407385,327560.407385049
51,88,1,221,Kingsland,ParkAndRide,Park & Ride,L,Downtown,Kingsland PR, ,{38C32561-A727-47A7-84CF-4D7DF5CE9F5A}, ,,sn01,2016-07-07T00:00:00.000Z,290676.89921,290676.899205784
52,89,1,247,Fuqua,ParkAndRide,Park & Ride,P,Downtown,Fuqua PR, ,{5313B7E5-4B04-4D0D-806B-909020B8BC1C}, ,,sn01,2016-07-07T00:00:00.000Z,282003.219394,282003.21939347
53,91,1,255,Kingwood,ParkAndRide,Park & Ride,P,Downtown,Kingwood PR, ,{715C521C-068D-4ED8-B701-76AB410C8356}, ,,sn01,2016-07-07T00:00:00.000Z,478305.257861,478305.257861099
54,92,1,257,Townsen,ParkAndRide,Park & Ride,P,Downtown,Townsen PR, ,{B2336BBF-99D2-4E25-9DB6-32F4BBCBF278}, ,,sn01,2016-07-07T00:00:00.000Z,355688.089,355688.089000181
55,93,1,261,West Loop,ParkAndRide,Park & Ride,L,Downtown,West Loop PR, ,{633B0D94-689C-4135-BA97-408027ABA246}, ,,sn01,2016-06-06T00:00:00.000Z,146466.711679,146466.7116786
56,99,1,236,Maxey Road-Baytown,ParkAndRide,Park & Ride,L,Downtown,Maxey Road PR,Baytown PR,{5039779E-61A7-4C66-A518-5C4418CF595E}, ,,sn01,2016-07-07T00:00:00.000Z,322660.941338,322660.941338339
